"pop","variable","time","scenario","perc_change_from_2021_rate_per100k","rate_per100k","perc_change_from_2021_rate_per100k_lo","rate_per100k_lo","perc_change_from_2021_rate_per100k_hi","rate_per100k_hi"
"Combined","I",2018,"Active 5-year reversion",25.8545894637598,61.4964504292005,17.700905635468,53.4515292169058,32.4665211992895,71.2007375142642
"Combined","I",2019,"Active 5-year reversion",12.66816438494,55.0875561849795,8.2745291212377,46.4122289752951,16.9967970778937,65.7107806511037
"Combined","I",2020,"Active 5-year reversion",1.80177955903391,49.8208509957261,-1.97270066883084,41.3754773286605,6.16682213006946,60.5588524344211
"Combined","I",2021,"Active 5-year reversion",0,48.8773272522155,0,41.1392883567632,0,59.3146522941279
"Combined","I",2022,"Active 5-year reversion",10.3022556456908,53.5730506854696,3.017366443305,44.0868625673557,18.2013776143085,68.1698501961712
"Combined","I",2023,"Active 5-year reversion",62.0479044955222,78.9968958716289,34.4479238526982,59.334037608316,88.7052668974862,104.985698471073
"Combined","I",2024,"Active 5-year reversion",101.493892928994,99.4482001340475,68.0880933097698,75.1166277752355,131.393996563623,121.918530403416
"Combined","I",2025,"Active 5-year reversion",93.8870100359913,95.3525258824532,68.6457746616963,78.0710683385319,121.951097283568,113.913455951984
"Combined","I",2026,"Active 5-year reversion",66.3384831000988,81.5780334694238,46.0274620294147,68.4001237007654,90.8531388871008,98.6501597632955
"Combined","I",2027,"Active 5-year reversion",41.3343200801932,68.9342307698874,22.4652889815201,57.176754402136,62.1281549078205,85.801150389546
"Combined","I",2028,"Active 5-year reversion",22.0108700580812,59.4659051720871,5.21665975931718,48.560510917844,40.9256865340988,76.166356613906
"Combined","I",2029,"Active 5-year reversion",7.83657031321657,52.7459477200158,-6.79010886249858,42.7161231398433,25.5184847166229,68.3000720236833
"Combined","I",2030,"Active 5-year reversion",-2.03226826288526,47.9099452600107,-14.9128908829997,38.9300471629606,14.0271469611918,62.2593638709926
"Combined","I",2031,"Active 5-year reversion",-8.99423247257591,44.4919521764857,-20.6528339890686,36.2833350957806,5.71858057883858,57.460482506054
"Combined","I",2032,"Active 5-year reversion",-13.8840595142302,42.0695990568545,-24.5073452655179,34.4193213415479,-0.799196848573207,53.9098863172053
"Combined","I",2033,"Active 5-year reversion",-17.4551028690406,40.3232037141166,-27.2589715808013,33.0633641672881,-5.464282864682,51.0681094663476
"Combined","I",2034,"Active 5-year reversion",-20.1179057215352,39.0490261964335,-29.3420330428858,32.0746992397649,-9.20361508779178,48.8326232264913
"Combined","I",2035,"Active 5-year reversion",-22.1456607443038,38.101425960371,-30.8879477437888,31.4444995340847,-12.0164909102224,47.2550034830189
"Combined","I",2013,"Active 2-year reversion",-11.6793987948728,43.1103585599001,-24.8955666631029,37.7285876919103,-0.75993212714295,49.1873999953448
"Combined","I",2014,"Active 2-year reversion",-2.42816168945531,47.7122151587,-17.2007276489619,42.0881880607561,9.8389331571533,53.6625936738319
"Combined","I",2015,"Active 2-year reversion",8.40193889645271,53.0598052386864,-7.38637079222229,46.8472050942313,22.198940111683,59.3452799236973
"Combined","I",2016,"Active 2-year reversion",21.4203167870266,59.4637706243708,5.49807369855076,52.4250543680379,36.5550584523977,66.8919729202907
"Combined","I",2017,"Active 2-year reversion",33.2427285392767,65.3684835913152,18.1248801661831,57.140442817289,48.6587991233206,74.3434355419127
"Combined","I",2018,"Active 2-year reversion",25.8545894637598,61.4964504292005,17.700905635468,53.4515292169058,32.4665211992895,71.2007375142642
"Combined","I",2019,"Active 2-year reversion",12.66816438494,55.0875561849795,8.2745291212377,46.4122289752951,16.9967970778937,65.7107806511037
"Combined","I",2020,"Active 2-year reversion",1.80177955903391,49.8208509957261,-1.97270066883084,41.3754773286605,6.16682213006946,60.5588524344211
"Combined","I",2021,"Active 2-year reversion",0,48.8773272522155,0,41.1392883567632,0,59.3146522941279
"Combined","I",2022,"Active 2-year reversion",10.3022556456908,53.5730506854696,3.017366443305,44.0868625673557,18.2013776143085,68.1698501961712
"Combined","I",2023,"Active 2-year reversion",62.0478591644867,78.9969029526295,34.4479486822863,59.3340532368785,88.7052698628437,104.985698471391
"Combined","I",2024,"Active 2-year reversion",96.9349551539474,97.0474871417499,64.6356930810067,73.4971266604748,126.325158762658,118.938376986127
